"AUDIT_ID","ACTION_TYPE","ENTITY_TYPE","ENTITY_ID","FIELD_CHANGED","OLD_VALUE","NEW_VALUE","CHANGE_SUMMARY","USER_ID","USER_ROLE","IP_ADDRESS","ACTION_TIMESTAMP"
925,REVIEW_ALERT,ALERT,15626,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: HIGH. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.76.10.70",2024-12-02 04:01:28.000
926,ESCALATE_ALERT,ALERT,15626,ASSIGNED_TO,senior_okafor,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.76.10.70",2024-12-02 07:01:28.000
927,REVIEW_ALERT,ALERT,15627,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.77.11.77",2025-02-05 01:52:33.000
928,REVIEW_ALERT,ALERT,15628,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,manager_fernandez,COMPLIANCE_MANAGER,"10.78.12.84",2025-12-13 18:58:57.000
929,REVIEW_ALERT,ALERT,15629,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.79.13.91",2026-02-27 12:48:11.000
930,ESCALATE_ALERT,ALERT,15629,ASSIGNED_TO,officer_tanaka,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.79.13.91",2026-02-27 15:48:11.000
931,REVIEW_ALERT,ALERT,15630,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.80.14.98",2025-12-11 09:59:24.000
932,REVIEW_ALERT,ALERT,15631,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.81.15.105",2025-05-31 07:19:35.000
933,ESCALATE_ALERT,ALERT,15631,ASSIGNED_TO,analyst_chen,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.81.15.105",2025-05-31 09:19:35.000
934,REVIEW_ALERT,ALERT,15632,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.82.16.112",2025-02-03 19:07:06.000
935,ESCALATE_ALERT,ALERT,15632,ASSIGNED_TO,analyst_patel,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.82.16.112",2025-02-03 22:07:06.000
936,REVIEW_ALERT,ALERT,15633,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.83.17.119",2026-05-19 02:23:33.000
937,REVIEW_ALERT,ALERT,15634,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.84.18.126",2025-02-19 09:49:53.000
938,REVIEW_ALERT,ALERT,15635,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.85.19.133",2025-11-14 04:10:48.000
939,ESCALATE_ALERT,ALERT,15635,ASSIGNED_TO,analyst_kim,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.85.19.133",2025-11-14 07:10:48.000
940,REVIEW_ALERT,ALERT,15636,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.86.20.140",2024-02-10 09:18:34.000
941,REVIEW_ALERT,ALERT,15637,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.87.21.147",2024-11-04 08:42:28.000
942,ESCALATE_ALERT,ALERT,15637,ASSIGNED_TO,senior_okafor,senior_okafor,Alert escalated to SENIOR_ANALYST due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.87.21.147",2024-11-04 10:42:28.000
943,REVIEW_ALERT,ALERT,15638,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,manager_raghavan,COMPLIANCE_MANAGER,"10.88.22.154",2025-09-07 08:58:39.000
944,REVIEW_ALERT,ALERT,15639,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.89.23.161",2026-06-15 19:53:49.000
945,REVIEW_ALERT,ALERT,15640,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.90.24.168",2024-02-25 20:16:38.000
946,ESCALATE_ALERT,ALERT,15640,ASSIGNED_TO,officer_tanaka,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.90.24.168",2024-02-25 22:16:38.000
947,REVIEW_ALERT,ALERT,15641,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.91.25.175",2024-07-22 11:08:22.000
1640,REVIEW_ALERT,ALERT,16113,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.63.241.151",2024-12-23 21:55:59.000
1641,REVIEW_ALERT,ALERT,16114,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.64.242.158",2026-06-02 23:07:48.000
1642,REVIEW_ALERT,ALERT,16115,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,analyst_chen,AML_ANALYST,"10.65.243.165",2024-10-07 11:21:37.000
1643,REVIEW_ALERT,ALERT,16116,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: HIGH. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.66.244.172",2026-05-01 20:36:26.000
1644,REVIEW_ALERT,ALERT,16117,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_okonkwo,AML_ANALYST,"10.67.245.179",2024-12-10 11:58:12.000
1645,ESCALATE_ALERT,ALERT,16117,ASSIGNED_TO,analyst_okonkwo,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.67.245.179",2024-12-10 13:58:12.000
1646,REVIEW_ALERT,ALERT,16118,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_silva,AML_ANALYST,"10.68.246.186",2024-12-22 02:51:34.000
1647,ESCALATE_ALERT,ALERT,16118,ASSIGNED_TO,analyst_silva,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.68.246.186",2024-12-22 05:51:34.000
1648,REVIEW_ALERT,ALERT,16119,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.69.247.193",2025-12-25 04:51:06.000
1649,REVIEW_ALERT,ALERT,16120,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.70.248.200",2024-07-03 01:31:51.000
1650,ESCALATE_ALERT,ALERT,16120,ASSIGNED_TO,senior_marchetti,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.70.248.200",2024-07-03 03:31:51.000
1651,REVIEW_ALERT,ALERT,16121,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.71.249.207",2025-04-03 06:22:45.000
1652,ESCALATE_ALERT,ALERT,16121,ASSIGNED_TO,senior_okafor,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.71.249.207",2025-04-03 09:22:45.000
1653,REVIEW_ALERT,ALERT,16122,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.72.250.214",2025-02-09 02:43:37.000
1654,REVIEW_ALERT,ALERT,16123,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,manager_fernandez,COMPLIANCE_MANAGER,"10.73.251.221",2026-07-01 00:45:52.000
1655,REVIEW_ALERT,ALERT,16124,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,officer_tanaka,COMPLIANCE_OFFICER,"10.74.252.228",2026-01-30 18:53:06.000
1656,ESCALATE_ALERT,ALERT,16124,ASSIGNED_TO,officer_tanaka,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.74.252.228",2026-01-30 21:53:06.000
1657,REVIEW_ALERT,ALERT,16125,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.75.253.235",2024-05-20 09:50:07.000
1658,REVIEW_ALERT,ALERT,16126,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.76.254.242",2024-07-02 00:32:24.000
1659,ESCALATE_ALERT,ALERT,16126,ASSIGNED_TO,analyst_chen,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.76.254.242",2024-07-02 02:32:24.000
1660,REVIEW_ALERT,ALERT,16127,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.77.255.249",2024-05-31 05:22:20.000
1661,ESCALATE_ALERT,ALERT,16127,ASSIGNED_TO,analyst_patel,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.77.255.249",2024-05-31 08:22:20.000
1662,REVIEW_ALERT,ALERT,16128,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_okonkwo,AML_ANALYST,"10.78.0.0",2024-04-16 13:29:47.000
1663,REVIEW_ALERT,ALERT,16129,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_silva,AML_ANALYST,"10.79.1.7",2025-03-09 18:49:52.000
1664,ESCALATE_ALERT,ALERT,16129,ASSIGNED_TO,analyst_silva,senior_okafor,Alert escalated to SENIOR_ANALYST due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.79.1.7",2025-03-09 20:49:52.000
1665,REVIEW_ALERT,ALERT,16130,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.80.2.14",2024-09-29 02:43:26.000
1666,ESCALATE_ALERT,ALERT,16130,ASSIGNED_TO,analyst_kim,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.80.2.14",2024-09-29 05:43:26.000
1667,REVIEW_ALERT,ALERT,16131,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: CRITICAL. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.81.3.21",2025-04-18 03:06:04.000
1668,REVIEW_ALERT,ALERT,16132,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,senior_okafor,SENIOR_ANALYST,"10.82.4.28",2026-05-31 10:53:49.000
1669,REVIEW_ALERT,ALERT,16133,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.83.5.35",2024-02-05 09:10:39.000
1670,ESCALATE_ALERT,ALERT,16133,ASSIGNED_TO,manager_raghavan,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.83.5.35",2024-02-05 12:10:39.000
1671,REVIEW_ALERT,ALERT,16134,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.84.6.42",2025-10-15 12:27:19.000
1672,REVIEW_ALERT,ALERT,16135,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed threshold breach pattern. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.85.7.49",2024-05-07 13:12:04.000
1673,REVIEW_ALERT,ALERT,16136,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.86.8.56",2026-03-19 00:32:51.000
1674,REVIEW_ALERT,ALERT,16137,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,analyst_chen,AML_ANALYST,"10.87.9.63",2024-03-17 22:35:53.000
1675,REVIEW_ALERT,ALERT,16138,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.88.10.70",2025-06-07 09:07:17.000
1676,ESCALATE_ALERT,ALERT,16138,ASSIGNED_TO,analyst_patel,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.88.10.70",2025-06-07 11:07:17.000
1677,REVIEW_ALERT,ALERT,16139,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.89.11.77",2024-01-09 17:43:10.000
1678,REVIEW_ALERT,ALERT,16140,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_silva,AML_ANALYST,"10.90.12.84",2025-11-24 14:44:55.000
1679,REVIEW_ALERT,ALERT,16141,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed velocity anomaly. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.91.13.91",2026-01-09 15:02:27.000
1680,ESCALATE_ALERT,ALERT,16141,ASSIGNED_TO,analyst_kim,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.91.13.91",2026-01-09 17:02:27.000
1681,REVIEW_ALERT,ALERT,16142,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,senior_marchetti,SENIOR_ANALYST,"10.92.14.98",2024-08-02 10:02:43.000
1682,REVIEW_ALERT,ALERT,16143,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,senior_okafor,SENIOR_ANALYST,"10.93.15.105",2025-03-03 12:08:43.000
1683,REVIEW_ALERT,ALERT,16144,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,manager_raghavan,COMPLIANCE_MANAGER,"10.94.16.112",2025-08-15 02:26:14.000
1684,REVIEW_ALERT,ALERT,16145,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.95.17.119",2025-01-06 00:54:33.000
1685,ESCALATE_ALERT,ALERT,16145,ASSIGNED_TO,manager_fernandez,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.95.17.119",2025-01-06 03:54:33.000
1686,REVIEW_ALERT,ALERT,16146,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.96.18.126",2025-03-19 18:05:00.000
1687,REVIEW_ALERT,ALERT,16147,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.97.19.133",2025-03-11 21:05:29.000
1688,ESCALATE_ALERT,ALERT,16147,ASSIGNED_TO,officer_dubois,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.97.19.133",2025-03-11 23:05:29.000
1689,REVIEW_ALERT,ALERT,16148,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.98.20.140",2026-03-17 07:19:22.000
1690,ESCALATE_ALERT,ALERT,16148,ASSIGNED_TO,analyst_chen,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.98.20.140",2026-03-17 10:19:22.000
1691,REVIEW_ALERT,ALERT,16149,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,analyst_patel,AML_ANALYST,"10.99.21.147",2026-03-03 17:53:01.000
1692,REVIEW_ALERT,ALERT,16150,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_okonkwo,AML_ANALYST,"10.50.22.154",2025-06-17 15:53:23.000
1693,ESCALATE_ALERT,ALERT,16150,ASSIGNED_TO,analyst_okonkwo,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.50.22.154",2025-06-17 17:53:23.000
1694,REVIEW_ALERT,ALERT,16151,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,analyst_silva,AML_ANALYST,"10.51.23.161",2025-01-27 03:58:45.000
1695,REVIEW_ALERT,ALERT,16152,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.52.24.168",2025-06-03 04:40:26.000
1696,REVIEW_ALERT,ALERT,16153,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,senior_marchetti,SENIOR_ANALYST,"10.53.25.175",2024-06-26 05:59:12.000
1697,ESCALATE_ALERT,ALERT,16153,ASSIGNED_TO,senior_marchetti,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.53.25.175",2024-06-26 07:59:12.000
1698,REVIEW_ALERT,ALERT,16154,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.54.26.182",2026-06-07 12:58:57.000
1699,ESCALATE_ALERT,ALERT,16154,ASSIGNED_TO,senior_okafor,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.54.26.182",2026-06-07 15:58:57.000
1700,REVIEW_ALERT,ALERT,16155,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,manager_raghavan,COMPLIANCE_MANAGER,"10.55.27.189",2024-07-02 23:42:46.000
1701,REVIEW_ALERT,ALERT,16156,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,manager_fernandez,COMPLIANCE_MANAGER,"10.56.28.196",2024-05-02 16:12:57.000
1702,REVIEW_ALERT,ALERT,16157,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.57.29.203",2024-08-29 06:30:30.000
1703,REVIEW_ALERT,ALERT,16158,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.58.30.210",2026-06-30 00:27:05.000
1704,REVIEW_ALERT,ALERT,16159,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.59.31.217",2025-01-29 15:04:16.000
1705,ESCALATE_ALERT,ALERT,16159,ASSIGNED_TO,analyst_chen,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.59.31.217",2025-01-29 17:04:16.000
1706,REVIEW_ALERT,ALERT,16160,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.60.32.224",2024-09-20 04:18:10.000
1707,ESCALATE_ALERT,ALERT,16160,ASSIGNED_TO,analyst_patel,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.60.32.224",2024-09-20 07:18:10.000
